name,status,trial_seed,exception,traceback,bucket,created_at,reported_at,metric:score (minimize),summary:score,summary:budget,summary:config_id,summary:cvrp_32,summary:cvrp_45,summary:cvrp_55,summary:cvrp_66,summary:cvrp_78,summary:cvrp_80,config:CVRP:ALLOW_DESTROY_ROUTE,config:CVRP:CAPACITY_PENALTY,config:CVRP:DESTROY_DEGREE,config:CVRP:GREEDY_ALL_ROUTES_RANDOMIZED_T,config:CVRP:INITIAL_STRATEGY,config:CVRP:REOPTIMIZE_CHANCE,config:CVRP:REPAIR_MAX_K,config:CVRP:TABU_LEN,config:CVRP:TRIES,config:CVRP:TSP_ALPHA,config:CVRP:TSP_ANTS,config:CVRP:TSP_BETA,config:CVRP:TSP_EVAPORATION,config:CVRP:TSP_EXACT_THRESHOLD,config:CVRP:TSP_INITIAL_PHEROMONE,config:CVRP:TSP_TIME_LIMIT,config:CVRP:VNS_MAX_ITERATIONS,config:CVRP:VNS_MISSSES_INIT
config_id=100_seed=1608637542_budget=6.666666666666666_instance=None,success,1608637542,NA,NA,SMAC-small/config_id=100_seed=1608637542_budget=6.666666666666666_instance=None,2024-07-04 16:06:10.475180,2024-07-04 16:06:51.442721,10.327807223126717,10.327807223126717,6.666666666666666,100,0.0,0.5326231691078487,0.7455731593662529,4.027355623100304,5.405405405405395,7.770845150311967,False,3407.4043657845677,0.010242992121589016,8.825144737878912,GREEDY_ALL_ROUTES_RANDOMIZED,0.024439603550652916,150,20,2,4.433724524406865,916,0.5565839697798396,0.3206171158789291,14,9.319078600464087,6.895150406986612,299,664
config_id=33_seed=1608637542_budget=20.0_instance=None,success,1608637542,NA,NA,SMAC-small/config_id=33_seed=1608637542_budget=20.0_instance=None,2024-07-04 16:47:37.986692,2024-07-04 16:49:39.297910,3.449883184563632,3.449883184563632,20.0,33,0.0,0.0,0.7455731593662529,1.2158054711246091,2.0475020475020367,2.382302892796373,False,3581.627180328405,0.012242201627763273,6.879945358131597,GREEDY_ALL_ROUTES_RANDOMIZED,0.774595207818283,150,27,5,5.523549319357111,565,8.767769490556867,0.4094480375502731,8,0.29753893637025636,7.553821184179454,311,734
config_id=209_seed=1608637542_budget=20.0_instance=None,success,1608637542,NA,NA,SMAC-small/config_id=209_seed=1608637542_budget=20.0_instance=None,2024-07-04 20:39:16.025288,2024-07-04 20:41:16.860393,5.380939185793497,5.380939185793497,20.0,209,0.0,0.0,0.0,3.49544072948329,2.9484029484029506,2.836074872376626,False,5954.832128054421,0.008605665742390906,2.1164078718931227,GREEDY_ALL_ROUTES,0.1501693424449327,150,16,5,9.751568807261581,44,8.007986053373209,0.13474465396392526,12,7.081393648540727,5.731104574090647,38,840
config_id=163_seed=1608637542_budget=6.666666666666666_instance=None,success,1608637542,NA,NA,SMAC-small/config_id=163_seed=1608637542_budget=6.666666666666666_instance=None,2024-07-04 19:58:36.814690,2024-07-04 19:59:18.035180,7.785115227016648,7.785115227016648,6.666666666666666,163,0.0,0.26631158455392434,0.5591798695246952,3.875379939209722,5.1597051597051635,4.310833806012471,False,1705.7341283444082,0.02774350197387471,0.7869924545179272,GREEDY_ALL_ROUTES,0.15819778551042266,150,6,5,2.151082518257531,52,5.362364134205571,0.28454372863706184,13,9.806314489924251,5.953341889914116,110,288
config_id=143_seed=1608637542_budget=180.0_instance=None,success,1608637542,NA,NA,SMAC-small/config_id=143_seed=1608637542_budget=180.0_instance=None,2024-07-04 18:33:43.644053,2024-07-04 18:51:45.078789,5.276735515788001,5.276735515788001,180.0,143,0.0,0.0,0.09319664492077884,2.3556231003039496,2.9484029484029506,3.6868973340896227,False,9152.402462455788,0.05750943468239432,2.9407663756580584,GREEDY_ALL_ROUTES,0.8323489281383817,150,49,4,6.0590018035589175,205,8.570588290005588,0.3792676775862417,10,5.9646204977279105,7.017413336671603,406,147
config_id=12_seed=1608637542_budget=2.2222222222222223_instance=None,success,1608637542,NA,NA,SMAC-small/config_id=12_seed=1608637542_budget=2.2222222222222223_instance=None,2024-07-04 15:51:12.913392,2024-07-04 15:51:27.177631,21.29176835738783,21.29176835738783,2.2222222222222223,12,2.5510204081632626,12.649800266311594,0.7455731593662529,9.726443768996962,11.957411957411956,6.976744186046502,False,3046.137691733707,0.0278635541456157,7.431258694211609,GREEDY_ALL_ROUTES,0.5236027155259324,150,33,5,6.9220330249500055,288,9.900637962541591,0.47094203795113554,8,8.556051234269962,6.436449302239108,142,956
config_id=169_seed=1608637542_budget=2.2222222222222223_instance=None,success,1608637542,NA,NA,SMAC-small/config_id=169_seed=1608637542_budget=2.2222222222222223_instance=None,2024-07-04 19:32:53.234933,2024-07-04 19:33:07.700528,29.85196031671499,29.85196031671499,2.2222222222222223,169,10.076530612244895,5.193075898801602,9.040074557315947,12.310030395136785,11.629811629811627,19.852524106636405,False,4116.807536961199,0.06662709224450282,2.249400757661158,GREEDY_ALL_ROUTES_RANDOMIZED,0.18218484757115913,150,26,5,9.758441570616455,90,9.191436833003413,0.7228613796806098,9,8.282872376332719,9.815091485931065,287,886
config_id=279_seed=1608637542_budget=180.0_instance=None,success,1608637542,NA,NA,SMAC-small/config_id=279_seed=1608637542_budget=180.0_instance=None,2024-07-04 22:16:55.978161,2024-07-04 22:34:57.000787,2.0305153877701625,2.0305153877701625,180.0,279,0.0,0.0,0.0,0.37993920972645423,1.5561015561015523,1.2478729438457181,False,979.3405265256238,0.002732414751950671,2.8031910791960306,GREEDY_ALL_ROUTES_RANDOMIZED,0.03232838083259299,150,27,1,3.5409935617339863,925,3.590340655115099,0.08830470666007054,14,6.567807153053314,4.6358646376204815,317,874
config_id=88_seed=1608637542_budget=6.666666666666666_instance=None,success,1608637542,NA,NA,SMAC-small/config_id=88_seed=1608637542_budget=6.666666666666666_instance=None,2024-07-04 16:02:03.720664,2024-07-04 16:02:45.008079,36.41026951422123,36.41026951422123,6.666666666666666,88,9.693877551020403,4.52729693741678,12.395153774464118,15.273556231003038,18.837018837018825,21.66761202495746,True,763.1182720557905,0.07154029912596792,6.23826571911927,GREEDY_ALL_ROUTES_RANDOMIZED,0.5893207599494297,150,37,3,9.169850054888197,241,6.239496006693196,0.2391439789958716,14,8.474996920437158,9.476713231607993,39,888
config_id=44_seed=1608637542_budget=6.666666666666666_instance=None,success,1608637542,NA,NA,SMAC-small/config_id=44_seed=1608637542_budget=6.666666666666666_instance=None,2024-07-04 16:19:59.721660,2024-07-04 16:20:41.133213,20.355808755202116,20.355808755202116,6.666666666666666,44,0.0,1.5978695073235683,0.2795899347623587,8.586626139817621,16.052416052416053,8.961996596710154,False,6651.972206962001,0.05278347705214281,3.9088895991732735,GREEDY_ALL_ROUTES_RANDOMIZED,0.39852065634840905,150,42,3,3.7756748499548265,468,3.0207649628997792,0.7501332863744886,11,2.329804824516705,8.996749987012938,192,589
