name,status,trial_seed,exception,traceback,bucket,created_at,reported_at,metric:score (minimize),summary:score,summary:budget,summary:config_id,summary:cvrp_195,summary:cvrp_336,summary:cvrp_670,summary:cvrp_979,config:CVRP:CAPACITY_PENALTY,config:CVRP:DESTROY_DEGREE,config:CVRP:GREEDY_ALL_ROUTES_RANDOMIZED_T,config:CVRP:INITIAL_STRATEGY,config:CVRP:REOPTIMIZE_CHANCE,config:CVRP:REPAIR_MAX_K,config:CVRP:TABU_LEN,config:CVRP:TRIES,config:CVRP:TSP_ALPHA,config:CVRP:TSP_ANTS,config:CVRP:TSP_BETA,config:CVRP:TSP_EVAPORATION,config:CVRP:TSP_EXACT_THRESHOLD,config:CVRP:TSP_INITIAL_PHEROMONE,config:CVRP:TSP_TIME_LIMIT,config:CVRP:VNS_MAX_ITERATIONS,config:CVRP:VNS_MISSSES_INIT
config_id=608_seed=1608637542_budget=1.234567901234568_instance=None,success,1608637542,NA,NA,SMAC-large/config_id=608_seed=1608637542_budget=1.234567901234568_instance=None,2024-07-05 05:58:26.423209,2024-07-05 05:58:34.801563,38.57480212881015,38.57480212881015,1.234567901234568,608,11.522894290559638,18.557123448181677,27.751277915971894,15.51573426573427,1098.580354717316,0.00809947699591745,6.03023770622737,GREEDY_ALL_ROUTES,0.6803494333376593,150,35,3,3.1124492170891536,989,4.127896280651092,0.9469807544200484,12,4.7897400670382675,0.3288754300760496,263,941
config_id=364_seed=1608637542_budget=11.11111111111111_instance=None,success,1608637542,NA,NA,SMAC-large/config_id=364_seed=1608637542_budget=11.11111111111111_instance=None,2024-07-05 01:42:08.471568,2024-07-05 01:42:56.110628,31.663898220578297,31.663898220578297,11.11111111111111,364,8.958733747880165,10.342100912221186,26.933275018451198,9.485946745562135,2627.953801977693,0.00840953374517047,2.2575086483233484,GREEDY_ALL_ROUTES,0.49251886700876407,150,45,1,4.613827998109668,908,4.150498059231986,0.8820462305528772,8,5.15488243882143,0.21349695712745104,83,143
config_id=113_seed=1608637542_budget=3.7037037037037033_instance=None,success,1608637542,NA,NA,SMAC-large/config_id=113_seed=1608637542_budget=3.7037037037037033_instance=None,2024-07-05 01:21:51.684257,2024-07-05 01:22:09.074343,38.270650087793655,38.270650087793655,3.7037037037037033,113,17.345392877331832,15.068542387014695,27.751277915971894,12.906804733727807,5122.219208126745,0.06834255014162698,0.8958925557226505,GREEDY_ALL_ROUTES,0.7191601541820555,150,6,1,0.13096366759652564,957,7.377708510995479,0.3597188944170435,10,3.503535265161037,7.748788776500007,331,266
config_id=380_seed=1608637542_budget=11.11111111111111_instance=None,success,1608637542,NA,NA,SMAC-large/config_id=380_seed=1608637542_budget=11.11111111111111_instance=None,2024-07-05 01:48:26.969339,2024-07-05 01:49:14.078856,29.91406058380432,29.91406058380432,11.11111111111111,380,6.647823629169025,10.408954000761984,25.746931634912396,8.91104088219472,2536.2154007883264,0.00840953374517047,1.1236408278687242,GREEDY_ALL_ROUTES,0.5033917959908973,150,49,2,4.613827998109668,981,5.276117312032225,0.8820462305528772,13,3.7695861253838694,0.21349695712745104,45,142
config_id=213_seed=1608637542_budget=1.234567901234568_instance=None,success,1608637542,NA,NA,SMAC-large/config_id=213_seed=1608637542_budget=1.234567901234568_instance=None,2024-07-05 00:55:59.140389,2024-07-05 00:56:26.251527,56.39721303838217,56.39721303838217,1.234567901234568,213,24.21481062747315,21.43899475958049,43.85848618210644,14.528980634749855,8881.181889340358,0.03320377121781303,9.059128509059445,GREEDY_ALL_ROUTES_RANDOMIZED,0.8271615074827086,150,43,2,5.771256964588986,76,0.9582301888484804,0.9989036859129578,10,7.484357281367975,8.068583879737897,430,998
config_id=211_seed=1608637542_budget=1.234567901234568_instance=None,success,1608637542,NA,NA,SMAC-large/config_id=211_seed=1608637542_budget=1.234567901234568_instance=None,2024-07-05 00:55:29.006641,2024-07-05 00:55:37.769863,39.77955798740748,39.77955798740748,1.234567901234568,211,17.345392877331832,16.45232943476791,27.751277915971894,15.51573426573427,7962.414505413685,0.02792265790242643,7.077409763380052,GREEDY_ALL_ROUTES,0.9396777946557887,150,33,2,2.7024235042998037,199,6.94946317934834,0.22652845686794804,12,2.65370391898432,6.623069758490747,408,801
config_id=416_seed=1608637542_budget=11.11111111111111_instance=None,success,1608637542,NA,NA,SMAC-large/config_id=416_seed=1608637542_budget=11.11111111111111_instance=None,2024-07-05 08:05:35.929934,2024-07-05 08:06:22.131028,26.450282293156732,26.450282293156732,11.11111111111111,416,4.981345392877334,7.66078886644479,23.947598611376876,6.529047875201721,472.54178748765935,0.001952414602905835,6.674126288424727,GREEDY_ALL_ROUTES,0.9373835436659244,150,18,3,2.4020534834709846,922,7.246998405817803,0.757942977372409,13,6.188789707285893,6.26594101309784,96,133
config_id=219_seed=1608637542_budget=1.234567901234568_instance=None,success,1608637542,NA,NA,SMAC-large/config_id=219_seed=1608637542_budget=1.234567901234568_instance=None,2024-07-05 00:57:38.641428,2024-07-05 00:58:27.404746,65.71149594179884,65.71149594179884,1.234567901234568,219,29.99886941775014,23.866552609067583,40.44159855670666,34.8271920387305,317.43765372988616,0.042910179271166554,1.3033710919237596,GREEDY_ALL_ROUTES_RANDOMIZED,0.8821632755832608,150,45,4,2.1202059964145805,865,8.86207341877895,0.20468704910342914,13,2.872330293781958,8.028376720405767,499,127
config_id=403_seed=1608637542_budget=100.0_instance=None,success,1608637542,NA,NA,SMAC-large/config_id=403_seed=1608637542_budget=100.0_instance=None,2024-07-05 03:16:22.595957,2024-07-05 03:23:04.298364,31.44424339397425,31.44424339397425,100.0,403,5.655172413793097,11.145056825125256,27.312549544870567,9.304397525551366,4041.3201459245256,0.022940532779828084,0.9894266012667173,GREEDY_ALL_ROUTES,0.08979824867056849,150,31,1,6.167360621764268,954,0.7353229266295629,0.9476294674305876,10,3.8973672565246544,3.7305642422851446,394,997
config_id=160_seed=1608637542_budget=1.234567901234568_instance=None,success,1608637542,NA,NA,SMAC-large/config_id=160_seed=1608637542_budget=1.234567901234568_instance=None,2024-07-05 00:42:48.868655,2024-07-05 00:42:58.520424,40.49965683394315,40.49965683394315,1.234567901234568,160,16.65347654041831,18.76199581629059,27.751277915971894,15.51573426573427,886.0471396967906,0.04927515315705388,1.237668679380248,GREEDY_ALL_ROUTES,0.41303542423437134,150,6,2,1.1188710069252352,810,9.477403379385063,0.08159331050535922,14,5.230540227374084,3.0026611227592,39,551
